1,6,14,35,46,54
5,27,45,48,53,56
18,30,47,51,53,56
4,10,16,21,45,53
13,14,15,40,49,52
10,26,32,46,56,59
5,16,34,50,53,58
7,24,29,42,48,59
6,7,15,27,32,47
19,22,32,49,55,59
1,4,24,32,37,40
7,23,29,34,35,49
3,4,7,31,48,56
20,24,41,43,48,52
7,14,18,21,39,40
4,12,20,33,49,51
7,14,29,35,38,44
16,21,25,31,50,57
9,27,44,47,55,59
3,7,16,18,44,58
3,4,8,16,43,55
15,21,24,26,34,35
22,39,44,48,53,58
14,20,28,42,53,58
4,15,16,30,45,50
4,27,29,39,43,56
6,7,11,22,28,51
1,16,21,27,44,53
2,12,30,41,42,57
5,8,9,16,23,56
10,23,36,52,55,57
5,10,16,45,48,55
1,5,23,27,35,54
1,8,13,16,23,42
7,18,21,22,46,59
3,16,31,32,33,40
7,23,32,41,49,55
13,27,30,31,42,50
3,23,37,41,52,57
12,20,32,48,51,55
1,15,16,18,19,20
7,15,17,26,31,42
11,24,29,34,38,53
1,8,12,27,42,54
12,15,22,27,49,59
12,13,48,52,56,59
1,6,27,36,52,57
11,24,43,48,52,59
5,8,9,43,46,47
12,22,23,36,41,49
17,29,32,33,49,50
9,13,14,29,46,59
1,13,17,18,20,34
7,10,17,26,36,41
14,37,39,42,45,59
2,5,11,12,32,37
7,18,31,43,51,55
5,9,15,21,29,36
6,10,32,35,42,56
19,22,24,31,40,48
9,15,21,22,46,59
25,31,33,43,46,54
7,10,18,29,41,52
6,11,23,26,34,54
10,20,25,29,50,54
7,19,27,37,53,59
1,6,18,36,38,52
16,26,42,44,51,58
5,10,14,43,48,53
12,29,30,34,52,53
3,14,24,33,34,53
6,11,16,28,50,53
6,28,32,36,42,53
18,26,47,55,57,59
5,7,10,14,22,35
17,28,30,32,34,38
27,37,44,45,46,52
5,8,18,46,48,51
24,39,41,52,56,59
23,24,32,36,47,50
11,26,29,34,43,44
4,6,20,31,35,55
10,27,34,36,45,56
1,21,36,45,49,57
9,24,29,36,53,55
1,25,34,44,51,52
3,30,36,37,45,51
6,19,24,27,31,41
1,9,16,27,31,47
2,14,23,29,37,45
11,29,33,40,43,47
4,5,6,7,51,58
12,14,25,27,30,41
13,30,41,56,58,59
30,31,40,42,47,51
2,7,9,10,20,50
9,22,23,37,38,55
13,14,24,31,56,58
4,8,15,22,38,43
1,6,9,20,35,49
1,8,14,21,26,37
5,9,23,27,29,38
3,6,11,29,30,44
1,10,27,34,42,47
12,18,26,30,39,55
5,18,29,30,35,53
8,9,35,36,54,56
13,22,36,41,49,58
13,16,34,38,41,53
1,11,18,26,49,58
27,31,40,47,52,56
4,30,41,44,48,56
3,4,22,28,36,58
3,15,21,26,30,39
19,21,43,47,48,56
1,9,23,26,33,42
10,12,13,25,26,43
1,3,11,13,35,41
9,12,29,31,35,40
31,45,46,53,58,59
3,8,25,30,31,42
5,13,36,37,49,53
3,6,15,29,31,52
5,13,20,36,45,50
1,5,7,10,22,38
16,39,41,45,50,58
35,40,42,53,54,56
9,37,44,47,55,59
6,14,20,40,52,55
8,18,41,46,49,59
22,24,30,32,33,47
6,10,11,14,33,58
16,23,29,35,48,52
8,11,12,30,46,56
8,27,39,43,46,48
3,17,21,40,51,53
1,21,23,28,31,51
9,21,31,44,51,58
21,24,41,43,44,56
16,20,25,46,51,52
9,18,19,30,51,59
3,15,18,35,50,59
6,7,9,25,47,54
8,10,29,44,53,54
8,21,32,34,40,44
15,29,36,37,46,52
1,4,23,29,57,59
3,4,35,46,49,57
8,29,30,33,42,57
5,20,30,45,49,52
4,8,10,17,45,47
2,11,19,30,47,52
5,13,14,22,29,56
2,13,16,53,54,58
1,6,24,27,31,48
4,13,35,37,44,52
9,17,31,35,40,51
7,13,17,20,53,55
18,19,21,40,43,52
3,6,15,33,43,45
6,29,46,51,54,56
1,13,36,43,54,58
14,16,28,39,40,48
10,14,20,21,37,45
8,12,16,32,47,59
4,6,7,9,30,35
3,5,31,39,48,49
9,13,16,17,32,59
5,11,18,25,38,50
12,23,35,50,56,58
3,11,13,27,43,50
7,19,25,26,38,57
22,24,37,45,52,57
7,34,36,39,53,56
5,6,7,32,39,50
17,32,34,35,42,54
25,36,40,48,56,57
6,13,34,38,42,51
36,42,48,52,56,59
17,19,41,49,51,57
5,7,11,16,22,55
2,3,18,21,32,35
19,23,40,43,50,52
20,22,31,54,56,57
2,5,8,23,36,40
5,25,32,43,44,55
2,22,29,45,55,59
2,7,8,10,16,47
11,14,20,46,48,50
6,17,29,32,49,58
5,9,40,45,47,49
2,10,24,37,40,59
7,15,21,26,33,49
22,41,42,52,54,57
12,25,32,34,51,53
4,10,34,38,39,52
17,32,38,42,51,54
6,21,23,50,52,55
12,34,37,46,48,58
10,14,39,40,47,56
8,21,32,34,45,56
5,9,15,28,44,57
2,9,14,35,43,56
5,12,42,45,56,59
3,27,41,45,50,53
2,12,13,22,43,52
4,9,42,51,54,58
14,31,40,48,50,56
15,27,37,47,50,57
10,28,29,34,53,58
23,27,43,45,48,50
2,12,17,25,28,44
3,5,10,11,35,40
20,23,25,32,47,55
2,10,17,23,51,55
13,14,22,34,48,59
4,5,24,32,50,52
5,23,29,31,47,56
14,31,41,46,49,52
1,6,18,26,38,41
2,11,20,24,29,52
9,23,34,42,49,55
1,4,16,42,54,57
10,22,34,38,49,53
10,11,21,26,27,52
6,14,16,33,40,57
25,38,39,46,55,57
4,27,29,47,48,59
9,26,30,36,42,47
9,15,25,42,43,51
10,24,26,32,40,50
2,24,29,42,43,58
2,9,16,17,26,39
9,23,34,39,47,55
10,12,20,23,35,53
6,20,23,30,47,48
11,14,15,34,35,53
2,12,33,38,41,56
4,19,25,42,46,55
6,22,35,36,40,50
